Time,Open,High,Low,Close,Volume,Count,Wap
20171130,153.69,154.55,153.15,153.2,58677.18,21245,153.876
20171201,153.1,153.76,148.75,152.95,136642.65,47753,152.054
20171204,154.12,155.4,152.15,152.64,66110.83,30876,153.901
20171205,152.7,153.16,150.8,151.15,45628.35,19389,151.765
20171206,150.72,151.19,149.96,150.59,56573.87,16660,150.41
20171207,150.39,151.89,150.02,151.41,44735.19,16658,151.205
20171208,151.85,152.27,151.29,151.6,28018.03,12381,151.638
20171211,151.57,152.13,151.02,151.64,37401.11,13364,151.44
20171212,151.65,151.92,150.71,150.73,41942.34,14965,151.217
20171213,150.77,152.71,150.64,152.02,38679.91,17123,151.933
20171214,152.09,152.2,149.65,150.1,41232.46,20278,150.761
20171215,150.49,153.25,150.49,152.62,61219.67,24302,152.21
20171218,153.3,154.72,153.27,154.21,53512.24,19544,154.22
20171219,154.26,154.77,152.7,153.39,37055.1,15846,153.699
20171220,153.47,153.93,152.84,153.16,31154.39,16357,153.444
20171221,152.91,154.01,152.91,153.64,26303.8,11939,153.525
20171222,153.81,153.81,152.8,153,28064.01,12624,153.131
20171226,153.2,153.43,152.85,153.27,32205.56,12346,153.24
20171227,153.37,153.94,152.81,153.26,23002.18,11311,153.327
20171228,153.25,153.76,153.02,153.73,19550,8259,153.466
20171229,154.06,154.41,151.81,152.35,38873.22,14009,152.92
20180102,152.54,153.97,152.12,153.8,41572.28,11893,153.632
20180103,153.99,154.46,153.52,154.1,30964.39,12874,154.024
20180104,154.51,155.15,154.03,154.53,25379.06,12270,154.542
20180105,154.62,154.99,153.94,154.85,36104.51,17563,154.544
20180108,154.7,155.26,153.5,155.01,44159.83,11288,154.766
20180109,154.91,155.5,154.63,154.74,32432.65,11986,155.07
20180110,154.2,155.16,153.74,155.02,30716.4,11742,154.638
20180111,154.85,157.66,154.85,157.39,40029,17585,156.939
20180112,157.93,158.86,157.22,158.28,53344.93,17875,158.073
20180116,158.55,159.41,155.8,156.62,46586.83,19934,157.464
20180117,156.99,157.93,156.28,157.72,33246.39,12981,157.262
20180118,157.24,157.7,156.13,156.45,31082.52,10915,156.738
20180119,156.66,158.81,156.32,158.6,43845.42,16564,158.135
20180122,158.2,159.54,158.13,159.34,28864.98,14121,158.886
20180123,159.64,160.29,158.67,159.96,26489.8,13042,159.491
20180124,160.1,160.62,158.4,158.92,37667.24,19988,159.295
20180125,159.22,159.97,158.21,159.21,44758,17492,158.886
20180126,159.42,159.97,158.77,159.74,21617.07,10583,159.351
20180129,159.5,159.86,158.43,158.63,33645.47,14800,159.107
20180130,157.78,158.21,156.73,157.32,49308.17,20234,157.379
20180131,158,158.42,155.92,156.79,52984.74,22616,156.861
20180201,157.17,157.32,155.41,156.85,41269.6,19037,156.495
20180202,156.3,156.41,153.2,153.39,63253.23,31943,154.561
20180205,152.76,153.78,144.51,145.68,101857.97,44772,150.285
20180206,147.27,150.36,143.12,149.66,117064.91,59240,147.963
20180207,148.65,150.79,147.8,148.86,64288.83,32784,149.9
20180208,149.02,150.25,145.27,146.06,75723.07,37046,147.484
20180209,146.79,147.94,142.5,147.19,86610.69,40258,145.587
20180212,148,148.92,145.49,147.61,65856.44,25890,147.505
20180213,147.17,148.97,146.75,148.87,31932.6,16125,147.903
20180214,149.37,151.52,146.25,151.29,67104.45,27105,150.045
20180215,152.02,153.23,150.56,153.12,42681.77,20454,152.065
20180216,153.62,154.29,152.47,153.34,49187.27,24416,153.454
20180220,152.3,153.77,151.67,152.6,50986.37,17604,152.439
20180221,151.82,154.81,151.41,151.52,46263.83,15992,152.921
20180222,151.96,154.02,151.42,152.99,27650.82,13969,152.803
20180223,153.16,154.25,152.15,154,36700.27,16021,153.227
20180226,154.57,155.33,153.48,155.02,35656.82,15295,154.603
20180227,154.75,155.84,152.66,153.23,32395.13,14854,153.889
20180228,153.17,153.6,150.05,150.6,46829.48,20300,151.585
20180301,150.21,151.57,148.38,150.1,60675.89,29523,150.043
20180302,149.27,152.75,148.29,152.3,48591.43,21938,150.925
20180305,151.77,154.26,151.48,153.7,33203.31,14126,153.194
20180306,154.05,155.39,152.81,153.26,29442.47,14100,154.549
20180307,154.25,156.93,153.91,156.44,43387.08,20263,155.915
20180308,156.58,157.46,155.5,156.71,58653.2,14412,156.382
20180309,156.64,158.99,156.26,158.87,37389.58,14323,158.441
20180312,159.68,159.68,158.5,159.2,21496.39,10355,159.213
20180313,159.69,160.29,158.14,158.6,34151.03,15192,158.943
20180314,160,160,157.41,157.71,38813.84,12354,157.925
20180315,157.94,158.14,156.37,157.37,23558.38,8372,157.049
20180316,156.86,158.27,156.76,158.1,33227.85,13249,157.754
20180319,157,157.18,154.46,156.29,40968.24,18645,156.005
20180320,156.66,157.04,155.77,156.36,19962.5,8936,156.415
